Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:31:40.151775,332.999,True,1.037397,1.071687,1.106322,1.098542,2025-01-16 20:37:36.181609,2025-01-16 15:37:36.181609
2025-01-16 20:31:41.151775,333.999,False,2.538338,6.9e-05,0.0,0.0,2025-01-16 20:37:37.181609,2025-01-16 15:37:37.181609
2025-01-16 20:31:41.151800,333.999,True,1.037397,1.071687,1.106185,1.098404,2025-01-16 20:37:37.181634,2025-01-16 15:37:37.181634
2025-01-16 20:31:42.151800,334.999,False,2.820375,6.9e-05,0.0,0.0,2025-01-16 20:37:38.181634,2025-01-16 15:37:38.181634
2025-01-16 20:31:42.151825,334.999,True,1.037534,1.071756,1.106185,1.098542,2025-01-16 20:37:38.181659,2025-01-16 15:37:38.181659
2025-01-16 20:31:43.151800,335.999,False,3.102412,6.9e-05,0.0,0.0,2025-01-16 20:37:39.181634,2025-01-16 15:37:39.181634
2025-01-16 20:31:43.151800,335.999,True,1.037397,1.071481,1.106116,1.098335,2025-01-16 20:37:39.181634,2025-01-16 15:37:39.181634
2025-01-16 20:31:44.151950,336.999,False,0.210495,6.9e-05,0.0,0.0,2025-01-16 20:37:40.181784,2025-01-16 15:37:40.181784
2025-01-16 20:31:44.151950,336.999,True,1.03719,1.071687,1.106047,1.098542,2025-01-16 20:37:40.181784,2025-01-16 15:37:40.181784
2025-01-16 20:31:45.151775,337.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:37:41.181609,2025-01-16 15:37:41.181609
2025-01-16 20:31:45.151775,337.999,True,1.037534,1.07155,1.106185,1.098335,2025-01-16 20:37:41.181609,2025-01-16 15:37:41.181609
2025-01-16 20:31:46.152200,338.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:37:42.182034,2025-01-16 15:37:42.182034
2025-01-16 20:31:46.152200,338.999,True,1.037534,1.07155,1.106322,1.098473,2025-01-16 20:37:42.182034,2025-01-16 15:37:42.182034
2025-01-16 20:31:47.152125,339.999,False,1.038912,6.9e-05,0.0,0.0,2025-01-16 20:37:43.181959,2025-01-16 15:37:43.181959
2025-01-16 20:31:47.152125,339.999,True,1.037259,1.071412,1.106185,1.09861,2025-01-16 20:37:43.181959,2025-01-16 15:37:43.181959
2025-01-16 20:31:48.152050,340.999,False,1.195285,6.9e-05,0.0,0.0,2025-01-16 20:37:44.181884,2025-01-16 15:37:44.181884
2025-01-16 20:31:48.152075,340.999,True,1.037328,1.071756,1.106116,1.098404,2025-01-16 20:37:44.181909,2025-01-16 15:37:44.181909
2025-01-16 20:31:49.151775,341.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:37:45.181609,2025-01-16 15:37:45.181609
2025-01-16 20:31:49.151800,341.999,True,1.037397,1.071619,1.106254,1.098404,2025-01-16 20:37:45.181634,2025-01-16 15:37:45.181634
2025-01-16 20:31:50.151800,342.999,False,1.718873,6.9e-05,0.0,0.0,2025-01-16 20:37:46.181634,2025-01-16 15:37:46.181634
2025-01-16 20:31:50.151825,342.999,True,1.037259,1.07155,1.106116,1.098473,2025-01-16 20:37:46.181659,2025-01-16 15:37:46.181659
2025-01-16 20:31:51.151775,343.999,False,1.974538,6.9e-05,0.0,0.0,2025-01-16 20:37:47.181609,2025-01-16 15:37:47.181609
2025-01-16 20:31:51.151800,343.999,True,1.037466,1.071687,1.106254,1.098404,2025-01-16 20:37:47.181634,2025-01-16 15:37:47.181634
2025-01-16 20:31:52.151750,344.999,False,2.304569,6.9e-05,0.0,0.0,2025-01-16 20:37:48.181584,2025-01-16 15:37:48.181584
2025-01-16 20:31:52.151775,344.999,True,1.037397,1.071619,1.106254,1.098473,2025-01-16 20:37:48.181609,2025-01-16 15:37:48.181609
