Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
2025-01-19 18:30:18.066775,44.999,False,2.309664,6.9e-05,0.0,0.0
2025-01-19 18:30:18.066800,44.999,True,1.040908,1.07396,1.109628,1.101847
2025-01-19 18:30:19.066750,45.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:30:19.066750,45.999,True,1.040702,1.074029,1.109559,1.101709
2025-01-19 18:30:20.066775,46.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:30:20.066775,46.999,True,1.04084,1.073891,1.109628,1.10164
2025-01-19 18:30:21.066875,47.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:30:21.066875,47.999,True,1.04084,1.07396,1.109559,1.101709
2025-01-19 18:30:22.066800,48.999,False,0.211597,6.9e-05,0.0,0.0
2025-01-19 18:30:22.066800,48.999,True,1.04084,1.074029,1.109696,1.101709
2025-01-19 18:30:23.066800,49.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:30:23.066825,49.999,True,1.040426,1.073684,1.109421,1.101778
2025-01-19 18:30:24.066800,50.999,False,0.757494,6.9e-05,0.0,0.0
2025-01-19 18:30:24.066825,50.999,True,1.04084,1.073822,1.109559,1.101847
2025-01-19 18:30:25.066775,51.999,False,1.038361,6.9e-05,0.0,0.0
2025-01-19 18:30:25.066800,51.999,True,1.040702,1.073753,1.109559,1.101709
2025-01-19 18:30:26.066775,52.999,False,1.19563,6.9e-05,0.0,0.0
2025-01-19 18:30:26.066775,52.999,True,1.040633,1.073891,1.109628,1.10164
2025-01-19 18:30:27.066800,53.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:30:27.066800,53.999,True,1.04084,1.073891,1.109352,1.101778
2025-01-19 18:30:28.066775,54.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:30:28.066775,54.999,True,1.040564,1.073684,1.10949,1.10164
2025-01-19 18:30:29.066850,55.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:30:29.066875,55.999,True,1.040633,1.073822,1.109559,1.101502
2025-01-19 18:30:30.066800,56.999,False,2.304637,6.9e-05,0.0,0.0
2025-01-19 18:30:30.066825,56.999,True,1.040908,1.073891,1.109352,1.101571
2025-01-19 18:30:31.066825,57.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:30:31.066850,57.999,True,1.040564,1.073684,1.10949,1.101571
2025-01-19 18:30:32.066900,58.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:30:32.066925,58.999,True,1.040702,1.073891,1.109352,1.10164
2025-01-19 18:30:33.066750,59.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:30:33.066775,59.999,True,1.040633,1.073684,1.109146,1.101502
2025-01-19 18:30:34.066850,60.999,False,0.211597,6.9e-05,0.0,0.0
2025-01-19 18:30:34.066875,60.999,True,1.040702,1.073753,1.10949,1.101502
2025-01-19 18:30:35.066775,61.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:30:35.066800,61.999,True,1.040633,1.073753,1.109421,1.101365
2025-01-19 18:30:36.066825,62.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:30:36.066825,62.999,True,1.040771,1.073547,1.109283,1.101571
2025-01-19 18:30:37.066775,63.999,False,1.03843,6.9e-05,0.0,0.0
2025-01-19 18:30:37.066800,63.999,True,1.040633,1.073547,1.109352,1.101502
2025-01-19 18:30:38.066850,64.999,False,1.195905,6.9e-05,0.0,0.0
2025-01-19 18:30:38.066850,64.999,True,1.040564,1.073547,1.109008,1.101296
2025-01-19 18:30:39.066800,65.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:30:39.066800,65.999,True,1.040426,1.073684,1.109283,1.101502
2025-01-19 18:30:40.066875,66.999,False,1.718735,6.9e-05,0.0,0.0
2025-01-19 18:30:40.066875,66.999,True,1.040564,1.073409,1.109283,1.101365
2025-01-19 18:30:41.066850,67.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:30:41.066850,67.999,True,1.040633,1.073547,1.109008,1.101502
2025-01-19 18:30:42.066800,68.999,False,2.304293,6.9e-05,0.0,0.0
2025-01-19 18:30:42.066825,68.999,True,1.040358,1.073478,1.109283,1.101365
2025-01-19 18:30:43.066875,69.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:30:43.066900,69.999,True,1.040426,1.073409,1.109008,1.101434
2025-01-19 18:30:44.066775,70.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:30:44.066800,70.999,True,1.040495,1.07334,1.109077,1.101434
2025-01-19 18:30:45.066800,71.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:30:45.066825,71.999,True,1.040564,1.073271,1.109283,1.101502
2025-01-19 18:30:46.066825,72.999,False,0.211528,6.9e-05,0.0,0.0
2025-01-19 18:30:46.066850,72.999,True,1.040495,1.073615,1.109214,1.101365
2025-01-19 18:30:47.066825,73.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:30:47.066825,73.999,True,1.040426,1.07334,1.109077,1.101365
2025-01-19 18:30:48.066800,74.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:30:48.066825,74.999,True,1.04022,1.073478,1.109008,1.101365
2025-01-19 18:30:49.067050,75.999,False,1.03843,6.9e-05,0.0,0.0
2025-01-19 18:30:49.067075,75.999,True,1.040358,1.073478,1.109077,1.101227
2025-01-19 18:30:50.066800,76.999,False,1.195217,6.9e-05,0.0,0.0
2025-01-19 18:30:50.066825,76.999,True,1.040289,1.07334,1.109077,1.101365
2025-01-19 18:30:51.066825,77.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:30:51.066850,77.999,True,1.040151,1.073271,1.109077,1.101158
2025-01-19 18:30:52.066800,78.999,False,1.718804,6.9e-05,0.0,0.0
2025-01-19 18:30:52.066800,78.999,True,1.04022,1.073202,1.109146,1.101227
2025-01-19 18:30:53.066800,79.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:30:53.066800,79.999,True,1.040495,1.073409,1.108939,1.101227
2025-01-19 18:30:54.066800,80.999,False,2.304224,6.9e-05,0.0,0.0
2025-01-19 18:30:54.066825,80.999,True,1.04022,1.073547,1.108939,1.101089
2025-01-19 18:30:55.066800,81.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:30:55.066800,81.999,True,1.040082,1.073547,1.109214,1.101296
2025-01-19 18:30:56.066825,82.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:30:56.066850,82.999,True,1.040289,1.073478,1.109214,1.10102
2025-01-19 18:30:57.066825,83.999,False,3.102412,6.9e-05,0.0,0.0
2025-01-19 18:30:57.066850,83.999,True,1.04022,1.073202,1.109077,1.101089
2025-01-19 18:30:58.066775,84.999,False,0.211597,6.9e-05,0.0,0.0
2025-01-19 18:30:58.066800,84.999,True,1.04022,1.073271,1.109008,1.101227
2025-01-19 18:30:59.066875,85.999,False,0.285756,6.9e-05,0.0,0.0
2025-01-19 18:30:59.066875,85.999,True,1.040289,1.07334,1.109008,1.101158
2025-01-19 18:31:00.067000,86.999,False,0.757563,6.9e-05,0.0,0.0
2025-01-19 18:31:00.067050,86.999,True,1.040289,1.073133,1.108939,1.101296
2025-01-19 18:31:01.066825,87.999,False,1.03843,6.9e-05,0.0,0.0
2025-01-19 18:31:01.066850,87.999,True,1.040151,1.07334,1.109008,1.101158
2025-01-19 18:31:02.066950,88.999,False,1.195699,6.9e-05,0.0,0.0
2025-01-19 18:31:02.066950,88.999,True,1.04022,1.073271,1.109146,1.101089
2025-01-19 18:31:03.066900,89.999,False,1.419277,6.9e-05,0.0,0.0
2025-01-19 18:31:03.066925,89.999,True,1.040289,1.073409,1.108939,1.101089
2025-01-19 18:31:04.066850,90.999,False,1.718666,6.9e-05,0.0,0.0
2025-01-19 18:31:04.066875,90.999,True,1.040151,1.073202,1.10887,1.10102
2025-01-19 18:31:05.066800,91.999,False,1.974538,6.9e-05,0.0,0.0
2025-01-19 18:31:05.066800,91.999,True,1.040151,1.073133,1.109077,1.10102
2025-01-19 18:31:06.066800,92.999,False,2.305395,6.9e-05,0.0,0.0
2025-01-19 18:31:06.066800,92.999,True,1.04022,1.073133,1.109008,1.101296
2025-01-19 18:31:07.066850,93.999,False,2.538338,6.9e-05,0.0,0.0
2025-01-19 18:31:07.066875,93.999,True,1.04022,1.073133,1.108801,1.101089
2025-01-19 18:31:08.066775,94.999,False,2.820375,6.9e-05,0.0,0.0
2025-01-19 18:31:08.066775,94.999,True,1.040013,1.073202,1.109008,1.10102
